City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
168,Tuktoyaktuk,CA,2022-07-29 05:32:25,69.4541,-133.0374,44.6,81,100,16.11,overcast clouds,0.0,0.0
169,Zalantun,CN,2022-07-29 05:32:25,48.0,122.7167,77.97,72,100,4.92,overcast clouds,0.0,0.0
170,Tudela,ES,2022-07-29 05:32:26,42.0617,-1.6045,68.9,66,9,10.04,clear sky,0.0,0.0
171,Sao Joao Da Barra,BR,2022-07-29 05:27:36,-21.6403,-41.0511,68.58,81,10,13.2,clear sky,0.0,0.0
172,Souillac,MU,2022-07-29 05:32:26,-20.5167,57.5167,73.78,60,20,10.36,few clouds,0.0,0.0
173,Nanortalik,GL,2022-07-29 05:32:27,60.1432,-45.2371,43.9,85,93,5.19,overcast clouds,0.0,0.0
174,Deniliquin,AU,2022-07-29 05:32:27,-35.5333,144.9667,54.79,45,6,8.72,clear sky,0.0,0.0
175,Saint-Philippe,RE,2022-07-29 05:32:27,-21.3585,55.7679,74.21,80,39,10.04,light rain,0.0,0.0
176,Mogocha,RU,2022-07-29 05:32:27,53.7333,119.7667,75.96,38,20,8.08,few clouds,0.0,0.0
177,Batagay-Alyta,RU,2022-07-29 05:32:28,67.8006,130.4114,84.7,36,16,5.21,few clouds,0.0,0.0
178,Calvinia,ZA,2022-07-29 05:32:28,-31.4707,19.776,43.9,79,100,13.29,overcast clouds,0.0,0.0
179,Krasnoyarskiy,RU,2022-07-29 05:32:29,51.965,59.8967,61.16,76,80,13.42,broken clouds,0.0,0.0
180,Arlit,NE,2022-07-29 05:32:29,18.7369,7.3853,84.7,52,36,7.76,scattered clouds,0.0,0.0
181,Port Hedland,AU,2022-07-29 05:33:29,-20.3167,118.5667,78.85,36,0,14.97,clear sky,0.0,0.0
182,Agadez,NE,2022-07-29 05:33:29,19.75,10.25,88.0,21,96,6.55,overcast clouds,0.0,0.0
183,Praia Da Vitoria,PT,2022-07-29 05:33:30,38.7333,-27.0667,70.05,83,20,3.4,few clouds,0.0,0.0
184,Haines Junction,CA,2022-07-29 05:33:30,60.7522,-137.5108,60.75,59,98,3.44,overcast clouds,0.0,0.0
185,Gulu,UG,2022-07-29 05:33:30,2.7746,32.299,67.78,91,73,4.47,light rain,0.0,0.0
186,Imbituba,BR,2022-07-29 05:33:31,-28.24,-48.6703,57.09,99,95,18.99,light rain,0.0,0.0
187,Tondano,ID,2022-07-29 05:33:31,1.3038,124.9112,80.69,74,89,5.48,overcast clouds,0.0,0.0
188,Flinders,AU,2022-07-29 05:33:31,-34.5833,150.8552,58.05,51,6,12.91,clear sky,0.0,0.0
189,Plettenberg Bay,ZA,2022-07-29 05:33:32,-34.0527,23.3716,55.98,67,1,5.28,clear sky,0.0,0.0
190,Zhezkazgan,KZ,2022-07-29 05:33:32,47.8043,67.7144,71.58,49,40,13.42,scattered clouds,0.0,0.0
191,Husavik,IS,2022-07-29 05:33:32,66.0449,-17.3389,44.28,94,100,12.95,overcast clouds,0.0,0.0
192,Riyadh,SA,2022-07-29 05:30:02,24.6877,46.7219,93.34,34,100,6.24,light rain,0.0,0.0
193,El Alto,PE,2022-07-29 05:33:33,-4.2714,-81.2147,62.91,79,20,12.3,few clouds,0.0,0.0
194,Paraiso,CR,2022-07-29 05:33:33,9.8383,-83.8656,63.41,91,76,2.13,broken clouds,0.0,0.0
195,Port Macquarie,AU,2022-07-29 05:33:33,-31.4333,152.9167,59.9,55,26,16.91,scattered clouds,0.0,0.0
196,Victoria,HK,2022-07-29 05:32:57,22.2855,114.1577,96.96,69,86,7.0,overcast clouds,0.0,0.0
197,Ust-Charyshskaya Pristan,RU,2022-07-29 05:33:34,52.3934,83.6635,84.4,31,80,7.07,broken clouds,0.0,0.0
198,Bremerton,US,2022-07-29 05:30:30,47.5673,-122.6326,80.51,75,0,3.44,clear sky,0.0,0.0
199,Dzidzantun,MX,2022-07-29 05:33:34,21.25,-89.05,78.15,87,100,6.58,overcast clouds,0.0,0.0
200,Kaitangata,NZ,2022-07-29 05:33:34,-46.2817,169.8464,43.74,88,95,10.22,overcast clouds,0.0,0.0
201,Verkh-Usugli,RU,2022-07-29 05:33:35,52.7,115.1667,68.38,56,57,4.81,broken clouds,0.0,0.0
202,Tenenkou,ML,2022-07-29 05:33:35,14.4572,-4.9169,76.01,66,100,11.39,overcast clouds,0.0,0.0
203,Maragogi,BR,2022-07-29 05:33:35,-9.0122,-35.2225,72.64,89,56,2.15,broken clouds,0.0,0.0
204,Asyut,EG,2022-07-29 05:33:36,27.181,31.1837,78.98,16,20,6.15,few clouds,0.0,0.0
205,Nhulunbuy,AU,2022-07-29 05:33:36,-12.2333,136.7667,79.41,69,75,12.66,broken clouds,0.0,0.0
206,Airai,TL,2022-07-29 05:33:36,-8.9266,125.4092,72.21,45,72,3.47,broken clouds,0.0,0.0
207,Uddevalla,SE,2022-07-29 05:33:37,58.3478,11.9424,60.08,79,1,3.09,clear sky,0.0,0.0
208,Hokitika,NZ,2022-07-29 05:33:37,-42.7167,170.9667,46.9,90,100,5.5,overcast clouds,0.0,0.0
209,Pisco,PE,2022-07-29 05:33:37,-13.7,-76.2167,60.85,82,100,1.14,mist,0.0,0.0
210,Correntina,BR,2022-07-29 05:33:37,-13.3433,-44.6367,60.96,60,3,1.48,clear sky,0.0,0.0
211,Mayumba,GA,2022-07-29 05:33:38,-3.432,10.6554,68.99,89,77,3.31,broken clouds,0.0,0.0
212,Nanning,CN,2022-07-29 05:33:38,22.8167,108.3167,97.25,40,100,3.29,overcast clouds,0.0,0.0
213,Vila Velha,BR,2022-07-29 05:31:04,-20.3297,-40.2925,71.55,84,20,10.36,few clouds,0.0,0.0
214,Itoman,JP,2022-07-29 05:33:38,26.1247,127.6694,91.42,68,40,9.22,scattered clouds,0.0,0.0
215,Saint George,US,2022-07-29 05:30:20,37.1041,-113.5841,82.94,58,0,11.5,clear sky,0.0,0.0
216,Pacific Grove,US,2022-07-29 05:32:34,36.6177,-121.9166,60.82,91,100,5.75,overcast clouds,0.0,0.0
217,Tiznit,MA,2022-07-29 05:33:39,29.5833,-9.5,72.14,56,0,0.98,clear sky,0.0,0.0
218,Clyde River,CA,2022-07-29 05:33:39,70.4692,-68.5914,35.83,100,100,11.5,mist,0.0,0.0
219,Ewa Beach,US,2022-07-29 05:33:40,21.3156,-158.0072,82.35,62,0,12.66,clear sky,0.0,0.0
220,Anadyr,RU,2022-07-29 05:33:40,64.75,177.4833,50.5,81,20,20.13,fog,0.0,0.0
221,Kavieng,PG,2022-07-29 05:33:40,-2.5744,150.7967,83.62,73,81,15.26,broken clouds,0.0,0.0
222,San Cristobal,VE,2022-07-29 05:33:40,7.7669,-72.225,68.18,94,100,1.16,overcast clouds,0.0,0.0
223,Labuhan,ID,2022-07-29 05:33:41,-6.8844,112.2051,87.13,56,97,10.13,overcast clouds,0.0,0.0
224,Quirinopolis,BR,2022-07-29 05:33:41,-18.4483,-50.4517,66.06,40,67,4.61,broken clouds,0.0,0.0
