City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
344,Cabo San Lucas,MX,85.6,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
349,Arak,IR,80.42,clear sky,34.0917,49.6892,Zagros Hotel
351,Carutapera,BR,75.67,few clouds,-1.195,-46.02,Lidera
352,Tutoia,BR,76.98,overcast clouds,-2.7619,-42.2744,Tutóia Pousada Vila Beach
354,Teluk Nibung,ID,85.28,overcast clouds,3.0010000000000003,99.8164,Hotel Assyifa
358,Kloulklubed,PW,86.5,light rain,7.0419,134.2556,Storyboard Beach Resort
362,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
365,Sunland Park,US,87.91,overcast clouds,31.7965,-106.58,SpringHill Suites by Marriott El Paso
366,Gizo,SB,83.12,light rain,-8.103,156.8419,Imagination Island
367,Tessalit,ML,81.45,overcast clouds,20.1986,1.0114,
369,Klyuchi,RU,85.42,scattered clouds,52.2667,79.1667,Vesolaya Mayovka
376,Celestun,MX,80.37,overcast clouds,20.8667,-90.4,Posada Lilia
377,Nanakuli,US,82.35,clear sky,21.3906,-158.1547,Camp Pālehua
380,Mayo,US,77.95,clear sky,38.8876,-76.5119,Resorts Resource Group International
382,Amurzet,RU,87.69,broken clouds,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
385,Nyurba,RU,88.11,few clouds,63.2842,118.3319,"Гостиница ""Comfort"""
394,Chifeng,CN,78.33,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
398,Harrison,US,78.87,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
400,Kayes,ML,76.19,overcast clouds,14.0,-11.0,
405,Shingu,JP,84.76,scattered clouds,33.7333,135.9833,Shingu UI Hotel
409,Sindor,RU,75.2,few clouds,62.8629,51.8905,
411,Muscat,OM,87.82,broken clouds,23.6139,58.5922,Mutrah Hotel
415,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
417,Calatagan,PH,84.81,overcast clouds,13.8833,120.65,Coral Bay Rest House
420,Akyab,MM,87.19,scattered clouds,20.15,92.9,Hotel Memory
421,Ninghai,CN,87.57,scattered clouds,29.2892,121.4247,Kaiyuan New Century Hotel
422,Teshie,GH,75.76,few clouds,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
423,Galesong,ID,87.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
424,Onokhoy,RU,77.72,broken clouds,51.931999999999995,108.0747,
